"","nombre_familia","numero_contratos","numero_entidades","numero_contratistas","contratos_cerrados","contratos_adicion","IHH_frecuencia","IHH_valor","DN","puntaje_concentracion"
"229","Política comercial y servicios",134,46,114,0.746268656716418,0.0447761194029851,116.952550679439,5496.85679040992,0.00426439232409382,2806.90467054468
"230","Comercialización y distribución",489,155,331,0.650306748466258,0.098159509202454,61.3496932515338,6336.96167232035,0.00409836065573771,3199.15568278594
"231","Máquinas expendedoras",30,12,17,0.733333333333333,0,1644.44444444444,4809.86074802902,0.135632183908046,3227.15259623673
"232","Bebidas",657,97,173,0.691019786910198,0.0441400304414003,301.518131630098,6162.03832878746,0.028673386048929,3231.77823020878
"233","Fabricación de maquinaria y equipo de transporte",81,19,31,0.283950617283951,0,1199.51226947112,5451.73024505533,0.108950617283951,3325.62125726322
"234","Seguridad, vigilancia y detección",108,64,88,0.87962962962963,0.101851851851852,149.17695473251,6605.43140325366,0.00571131879543095,3377.30417899309
"235","Servicios inmobiliarios",248,113,184,0.782258064516129,0.0604838709677419,74.4667013527575,6850.27735024029,0.00342823560141047,3462.37202579652
"236","Ropa de cama, mantelerías, paños de cocina y toallas",111,67,89,0.765765765765766,0.018018018018018,172.875578280984,7196.80708553064,0.00835380835380835,3684.84133190581
"237","Fruta congelada",33,2,5,1,0.0303030303030303,4545.45454545455,3263.30366194322,0.4375,3904.37910369888
"238","Servicios públicos",82,54,69,0.609756097560976,0.0853658536585366,181.439619274242,7759.40192772044,0.00602228244504667,3970.42077349734
"239","Equipo de vídeo, filmación o fotografía",69,54,59,0.840579710144927,0.0144927536231884,212.140306658265,9467.90503537468,0.00682011935208866,4840.02267101647
"240","Hormonas y antagonistas hormonales",985,87,145,0.9248730964467,0.0182741116751269,737.633023267799,9544.57234227109,0.0728220048697949,5141.10268276944
