"","nombre_familia","numero_contratos","numero_entidades","numero_contratistas","contratos_cerrados","contratos_adicion","IHH_frecuencia","IHH_valor","DN","puntaje_concentracion"
"91","Seguimiento, control y rehabilitación de la contaminación",121,70,75,0.909090909090909,0.0661157024793388,213.783211529267,678.221051189862,0.0132231404958678,446.002131359565
"92","Instalaciones hoteleras, alojamientos y centros de encuentros",456,159,289,0.767543859649123,0.0701754385964912,65.3085564789166,836.164057362471,0.00434740697898593,450.736306920694
"93","Productos para el cuidado de heridas",1374,73,182,0.987627365356623,0.0443959243085881,507.151952776559,397.567875287818,0.0500238006638742,452.359914032189
"94","Medicamentos hematólogos",601,69,135,0.928452579034942,0.0632279534109817,369.074282740081,552.92966690141,0.0353022739877981,461.001974820746
"95","Vehículos de motor",1446,339,604,0.727524204702628,0.0497925311203319,74.1588853880309,848.04933671016,0.00672897911910676,461.104111049095
"96","Deportes comerciales",58,37,46,0.879310344827586,0.0344827586206897,261.593341260404,662.468096738239,0.00907441016333938,462.030718999321
"97","Estadística",140,50,85,0.65,0.0285714285714286,225.510204081633,706.172938558359,0.01551901336074,465.841571319996
"98","Lámparas y bombillas y componentes para lámparas",279,70,127,0.946236559139785,0.014336917562724,260.145681581686,683.200993100053,0.0225110234393131,471.673337340869
"99","Agentes antitumorales",469,27,69,0.978678038379531,0.0405117270788913,425.484517709958,518.403562159517,0.0405026151294808,471.944039934738
"100","Servicios de apoyo a la fabricación",176,79,144,0.835227272727273,0.107954545454545,80.7076446280992,865.561187653144,0.0024025974025974,473.134416140622
"101","Manejo y embalaje de material",107,58,78,0.719626168224299,0.11214953271028,186.042449122194,792.898517433327,0.00934579439252336,489.47048327776
"102","Productos de panadería",403,45,105,0.910669975186104,0.0471464019851117,423.31397890511,560.31437508285,0.0399491376862585,491.81417699398
"103","Servicios de maquinado y procesado",65,44,58,0.8,0.107692307692308,205.917159763314,784.64125690717,0.00528846153846154,495.279208335242
"104","Fármacos que afectan a los oídos, los ojos, la nariz y la piel",555,53,109,0.944144144144144,0.0252252252252252,406.687768849931,586.789149161663,0.0389371320779263,496.738459005797
"105","Sistemas educativos alternativos",723,89,368,0.442600276625173,0.0926694329183956,255.562633793036,748.984495581083,0.024206618314732,502.273564687059
"106","Dispositivos de comunicaciones y accesorios",354,123,242,0.844632768361582,0.0225988700564972,80.277059593348,991.802587537555,0.00521758614618844,536.039823565451
"107","Agentes que afectan el agua y los electrolitos",831,50,122,0.936221419975933,0.0553549939831528,466.852312829714,605.865697823195,0.0455366592724689,536.359005326455
"108","Tejidos y materiales de cuero",98,63,83,0.86734693877551,0.0408163265306122,137.442732194919,950.449599261717,0.00357668840732169,543.946165728318
